Università,Link,Link_ex_studenti,_id,last_update
Politecnico di Milano,https://www.linkedin.com/school/polimi/,https://www.linkedin.com/school/polimi/people/,6d9583ea7098ab5aa335ad266987fe5a,2022-08-10
Sapienza Università di Roma,https://www.linkedin.com/school/sapienzauniversitadiroma/,https://www.linkedin.com/school/sapienzauniversitadiroma/people/,e3d6dc88c38236816a1cd1eea566245a,2022-08-10
Università degli studi di Palermo,https://www.linkedin.com/school/universita-degli-studi-di-palermo/,https://www.linkedin.com/school/universita-degli-studi-di-palermo/people/,a8b1c41a28b46a82fec3091e19236e03,2022-08-10
Università degli Studi di Siena,https://www.linkedin.com/school/universita-di-siena/,https://www.linkedin.com/school/universita-di-siena/people/,9b775059be8b565bdf3f366792378cc3,2022-08-10
Università degli Studi di Genova,https://www.linkedin.com/school/universit-degli-studi-di-genova/,https://www.linkedin.com/school/universit-degli-studi-di-genova/people/,cb6c1c652f83708ec656fd32afce88cc,2022-08-10
Università degli Studi di Perugia,https://www.linkedin.com/school/universit-degli-studi-di-perugia/,https://www.linkedin.com/school/universit-degli-studi-di-perugia/people/,7b9b3cad777b902768cb9a65743eb100,2022-08-10
Università Cattolica del Sacro Cuore,https://www.linkedin.com/school/unicatt/,https://www.linkedin.com/school/unicatt/people/,18e3b86984188af74913f3ba7e7a976f,2022-08-10
Università degli Studi di Torino,https://www.linkedin.com/school/universita-degli-studi-di-torino/,https://www.linkedin.com/school/universita-degli-studi-di-torino/people/,6a80c826883d3c1c46ffc23a1ad0a7bf,2022-08-10
Università di Roma Tor Vergata,https://www.linkedin.com/school/university-of-rome-tor-vergata/,https://www.linkedin.com/school/university-of-rome-tor-vergata/people/,fad9ec4f21d5864167248429c1219158,2022-08-10
Università degli Studi di Pavia,https://www.linkedin.com/school/university-of-pavia/,https://www.linkedin.com/school/university-of-pavia/people/,2dc227cf3408cad24e88f5ad7f019905,2022-08-10
Università Ca'​ Foscari Venezia,https://www.linkedin.com/school/cafoscari/,https://www.linkedin.com/school/cafoscari/people/,d0b9f3945b9a50d0cd66e1b16575c133,2022-08-10
Università degli Studi di Trieste,https://www.linkedin.com/school/universitadeglistudiditrieste/,https://www.linkedin.com/school/universitadeglistudiditrieste/people/,5c798f2663b6c62f264f0200bc1fdb09,2022-08-10
Università di Trento,https://www.linkedin.com/school/universitaditrento/,https://www.linkedin.com/school/universitaditrento/people/,455a24545f3f879e3e7b432912bbd125,2022-08-10
Università degli Studi di Bergamo,https://www.linkedin.com/school/unibergamo/,https://www.linkedin.com/school/unibergamo/people/,ebdfa45c5d2dd1ae922efc88c40df3ae,2022-08-10
Università degli Studi di Milano,https://www.linkedin.com/school/university-of-milan/,https://www.linkedin.com/school/university-of-milan/people/,1fe665ed72524bec25cbdb23405ef433,2022-08-10
Università Bocconi,https://www.linkedin.com/school/universita-bocconi/,https://www.linkedin.com/school/universita-bocconi/people/,65b0a7f01042c87e96446e48e31284f8,2022-08-10
Università degli Studi di Milano-Bicocca,https://www.linkedin.com/school/university-degli-studi-di-milano-bicocca/,https://www.linkedin.com/school/university-degli-studi-di-milano-bicocca/people/,162aada36a3b4cd5ee0c7120ae9c0023,2022-08-10
Università degli Studi di Salerno,https://www.linkedin.com/school/unisalerno/,https://www.linkedin.com/school/unisalerno/people/,f588b12e401062111aeefd250dab76ff,2022-08-10
Università IULM,https://www.linkedin.com/school/iulm-university/,https://www.linkedin.com/school/iulm-university/people/,a9799e4ea1778436b664a7a01dc0c941,2022-08-10
Alma Mater Studiorum - Università di Bologna,https://www.linkedin.com/school/unibo/,https://www.linkedin.com/school/unibo/people/,374f0ce8b1dc641db302d2a4c9dfbf92,2022-08-10
